filltype,fill,ndatapts,ttotal,tksearch,tfrsearch,tprocessing,listmethod,memory,method
full,100,250000,2.0657200000000002,0.0,0.0,0.0,-1,116.74000000000001,CLL
full,100,250000,2.16067,0.0,0.0,0.0,-1,116.784,CLL
full,100,250000,2.11499,0.0,0.0,0.0,-1,116.78,CLL
full,100,250000,2.17325,0.0,0.0,0.0,-1,116.748,CLL
full,100,250000,2.16133,0.0,0.0,0.0,-1,116.70400000000001,CLL
clusters2,11,27648,0.07578860000000001,0.0,0.0,0.0,-1,19.164,CLL
clusters2,11,27648,0.08292739999999998,0.0,0.0,0.0,-1,19.224,CLL
clusters2,11,27648,0.0771678,0.0,0.0,0.0,-1,19.192,CLL
clusters2,11,27648,0.0789838,0.0,0.0,0.0,-1,19.16,CLL
clusters2,11,27648,0.07699099999999999,0.0,0.0,0.0,-1,19.176000000000002,CLL
clusters4,11,27648,0.0666828,0.0,0.0,0.0,-1,13.484,CLL
clusters4,11,27648,0.0678435,0.0,0.0,0.0,-1,13.588000000000001,CLL
clusters4,11,27648,0.0661152,0.0,0.0,0.0,-1,13.488,CLL
clusters4,11,27648,0.068131,0.0,0.0,0.0,-1,13.488,CLL
clusters4,11,27648,0.0700235,0.0,0.0,0.0,-1,13.428,CLL
clusters6,11,27648,0.0648178,0.0,0.0,0.0,-1,13.044,CLL
clusters6,11,27648,0.06525740000000001,0.0,0.0,0.0,-1,13.044,CLL
clusters6,11,27648,0.0683157,0.0,0.0,0.0,-1,13.040000000000001,CLL
clusters6,11,27648,0.06718389999999999,0.0,0.0,0.0,-1,13.044,CLL
clusters6,11,27648,0.0673035,0.0,0.0,0.0,-1,12.96,CLL
clusters5,51,128000,0.628011,0.0,0.0,0.0,-1,61.372,CLL
clusters5,51,128000,0.625999,0.0,0.0,0.0,-1,61.46,CLL
clusters5,51,128000,0.6517649999999999,0.0,0.0,0.0,-1,61.416000000000004,CLL
clusters5,51,128000,0.630034,0.0,0.0,0.0,-1,61.4,CLL
clusters5,51,128000,0.658726,0.0,0.0,0.0,-1,61.432,CLL
clusters10,51,128000,0.608577,0.0,0.0,0.0,-1,41.144,CLL
clusters10,51,128000,0.629426,0.0,0.0,0.0,-1,41.028,CLL
clusters10,51,128000,0.603522,0.0,0.0,0.0,-1,41.028,CLL
clusters10,51,128000,0.615326,0.0,0.0,0.0,-1,41.088,CLL
clusters10,51,128000,0.61983,0.0,0.0,0.0,-1,41.112,CLL
clusters20,51,128000,0.613015,0.0,0.0,0.0,-1,40.008,CLL
clusters20,51,128000,0.613872,0.0,0.0,0.0,-1,40.024,CLL
clusters20,51,128000,0.588425,0.0,0.0,0.0,-1,40.088,CLL
clusters20,51,128000,0.606019,0.0,0.0,0.0,-1,40.076,CLL
clusters20,51,128000,0.584835,0.0,0.0,0.0,-1,40.0,CLL
corners,11,28158,0.0795425,0.0,0.0,0.0,-1,19.26,CLL
corners,11,28158,0.0792349,0.0,0.0,0.0,-1,19.208000000000002,CLL
corners,11,28158,0.0820965,0.0,0.0,0.0,-1,19.276,CLL
corners,11,28158,0.07982869999999999,0.0,0.0,0.0,-1,19.224,CLL
corners,11,28158,0.08089299999999999,0.0,0.0,0.0,-1,19.26,CLL
corners,2,7200,0.019858400000000002,0.0,0.0,0.0,-1,8.86,CLL
corners,2,7200,0.018463099999999996,0.0,0.0,0.0,-1,8.86,CLL
corners,2,7200,0.0200258,0.0,0.0,0.0,-1,8.804,CLL
corners,2,7200,0.0183954,0.0,0.0,0.0,-1,8.844,CLL
corners,2,7200,0.0192952,0.0,0.0,0.0,-1,8.812,CLL
diagonal,11,29424,0.0832342,0.0,0.0,0.0,-1,19.364,CLL
diagonal,11,29424,0.0786188,0.0,0.0,0.0,-1,19.244,CLL
diagonal,11,29424,0.0796988,0.0,0.0,0.0,-1,19.284,CLL
diagonal,11,29424,0.0807479,0.0,0.0,0.0,-1,19.192,CLL
diagonal,11,29424,0.0800982,0.0,0.0,0.0,-1,19.28,CLL
corners,14,37044,0.10348800000000001,0.0,0.0,0.0,-1,20.864,CLL
corners,14,37044,0.102112,0.0,0.0,0.0,-1,20.908,CLL
corners,14,37044,0.105378,0.0,0.0,0.0,-1,20.76,CLL
corners,14,37044,0.103861,0.0,0.0,0.0,-1,20.936,CLL
corners,14,37044,0.103367,0.0,0.0,0.0,-1,20.94,CLL
full,100,250000,6.01103,2.77148,2.8479400000000004,0.00638229,-1,347.16,ANN-NL
full,100,250000,6.06369,2.78843,2.86449,0.00619561,-1,347.236,ANN-NL
full,100,250000,6.2171199999999995,2.8612900000000003,2.9418,0.00665689,-1,347.068,ANN-NL
full,100,250000,6.0773,2.7909,2.87436,0.0068899,-1,347.236,ANN-NL
full,100,250000,6.09362,2.79917,2.8793599999999997,0.00631099,-1,347.156,ANN-NL
clusters2,11,27648,0.462325,0.208079,0.195947,0.0007300680000000001,-1,34.56,ANN-NL
clusters2,11,27648,0.48659300000000005,0.22253,0.211788,0.0007214360000000001,-1,34.528,ANN-NL
clusters2,11,27648,0.451895,0.206808,0.19555799999999998,0.0007001539999999999,-1,34.52,ANN-NL
clusters2,11,27648,0.466632,0.21404299999999998,0.201836,0.0007138639999999999,-1,34.52,ANN-NL
clusters2,11,27648,0.485785,0.224929,0.21147800000000003,0.000761588,-1,34.604,ANN-NL
clusters4,11,27648,0.338208,0.155383,0.13216,0.000767428,-1,28.664,ANN-NL
clusters4,11,27648,0.339897,0.15606199999999998,0.131149,0.0006860089999999999,-1,28.560000000000002,ANN-NL
clusters4,11,27648,0.326938,0.14955,0.126226,0.000683554,-1,28.656000000000002,ANN-NL
clusters4,11,27648,0.339446,0.15651400000000001,0.13234200000000002,0.0006837330000000001,-1,28.588,ANN-NL
